source,storefront,platform,title,price_usd,original_price_usd,discount_pct,product_url,release_date,review_score,genres,tags
gog,GOG,PC,Disney Villains Cursed Café,14.99,14.99,0.0,https://www.gog.com/en/game/disney_villains_cursed_cafe,2025-03-27,,"Adventure, Point-and-click, Fantasy",
gog,GOG,PC,Disney's Hercules,5.99,5.99,0.0,https://www.gog.com/en/game/disneys_hercules,1997-10-24,46.0,"Action, Arcade, Platformer",
gog,GOG,PC,Distant Kingdoms,24.99,24.99,0.0,https://www.gog.com/en/game/distant_kingdoms,2021-05-05,,"Strategy, Building, Managerial",
gog,GOG,PC,Distant Worlds 2,22.49,49.99,55.0,https://www.gog.com/en/game/distant_worlds_2,2022-03-10,,"Simulation, Strategy, Sci-fi",
gog,GOG,PC,Distant Worlds 2: Factions - Atuuk and Wekkarus,9.99,9.99,0.0,https://www.gog.com/en/game/distant_worlds_2_factions_atuuk_and_wekkarus,2025-04-03,,"Simulation, Strategy, Sci-fi",
gog,GOG,PC,Distant Worlds 2: Factions - Ikkuro and Dhayut,6.99,9.99,30.0,https://www.gog.com/en/game/distant_worlds_2_factions_ikkuro_and_dhayut,2023-03-16,,"Simulation, Strategy, Sci-fi",
gog,GOG,PC,Distant Worlds 2: Factions - Quameno and Gizureans,6.99,9.99,30.0,https://www.gog.com/en/game/distant_worlds_2_factions_quameno_and_gizureans,2023-09-07,,"Simulation, Strategy, Sci-fi",
gog,GOG,PC,Distant Worlds 2: Return of the Shakturi,17.99,19.99,10.0,https://www.gog.com/en/game/distant_worlds_2_return_of_the_shakturi,2024-10-24,,"Simulation, Strategy, Sci-fi",
gog,GOG,PC,Distant Worlds: Universe,29.99,29.99,0.0,https://www.gog.com/en/game/distant_worlds_universe,2014-05-23,42.0,"Strategy, Real-time, Sci-fi",
gog,GOG,PC,DISTRAINT 2,0.8,8.99,91.0,https://www.gog.com/en/game/distraint_2,2018-11-13,46.0,"Adventure, Puzzle, Horror",
gog,GOG,PC,DISTRAINT 2 - OST,0.67,3.99,83.0,https://www.gog.com/en/game/distraint_2_ost,2019-07-05,50.0,"Adventure, Puzzle, Horror",
gog,GOG,PC,DISTRAINT: Deluxe Edition,4.99,4.99,0.0,https://www.gog.com/en/game/distraint_deluxe_edition,2015-10-21,38.0,"Adventure, Puzzle, Horror",
gog,GOG,PC,Distrust,1.29,12.99,90.0,https://www.gog.com/en/game/distrust,2017-08-23,35.0,"Adventure, Strategy, Survival",
gog,GOG,PC,Divine Divinity,5.99,5.99,0.0,https://www.gog.com/en/game/divine_divinity,2002-09-17,43.0,"Role-playing, Action, Fantasy",
gog,GOG,PC,Divine Miko Koyori,11.99,19.99,40.0,https://www.gog.com/en/game/divine_miko_koyori,2020-01-31,,"Role-playing, Adventure, Narrative",
gog,GOG,PC,Divinity 2: Developer's Cut,19.99,19.99,0.0,https://www.gog.com/en/game/divinity_2_developers_cut,2012-10-18,42.0,"Role-playing, TPP, Fantasy",
