store,title,platform,price,release_date
epic_games_store,Lost Words: Beyond the Page,PC,5.51,2021-04-06
epic_games_store,Pumpkin Jack,PC,8.48,2020-10-23
epic_games_store,Rising Storm 2: Vietnam,PC,7.14,2020-10-08
epic_games_store,RUINER,PC,6.25,2017-09-26
epic_games_store,Sherlock Holmes: Crimes and Punishments,PC,17.99,2020-04-02
epic_games_store,Niche - a genetics survival game,PC,5.99,2021-09-15
epic_games_store,OCTOPATH TRAVELER™,PC,51.0,2021-03-25
epic_games_store,Golazo,PC,2.51,2021-03-31
epic_games_store,Windbound,PC,6.35,2020-08-28
epic_games_store,Might & Magic Heroes VII Ultimate Edition,PC,26.99,2020-08-25
epic_games_store,World War Z: Aftermath,PC,11.27,2021-09-21
epic_games_store,Tom Clancy's Splinter Cell,PC,2.99,2021-03-11
epic_games_store,Orwell's Animal Farm,PC,4.19,2020-12-10
epic_games_store,ZOMBI,PC,11.99,2020-10-13
epic_games_store,Alex Kidd in Miracle World DX,PC,8.76,2021-06-22
epic_games_store,Blade Strangers,PC,5.63,2021-10-06
epic_games_store,Yoku's Island Express,PC,6.35,2021-09-02
epic_games_store,Yooka-Laylee and the Impossible Lair,PC,8.04,2017-04-11
epic_games_store,Curse of the Dead Gods,PC,9.59,2021-02-23
epic_games_store,Dream Engines: Nomad Cities,PC,8.39,2021-07-14
epic_games_store,Monster Jam Steel Titans 2,PC,10.91,2021-03-02
epic_games_store,Darksiders Genesis,PC,13.91,2021-07-16
epic_games_store,Trüberbrook,PC,4.19,2021-11-03
epic_games_store,"Warhammer 40,000: Battlesector",PC,11.62,2021-07-22
epic_games_store,Inertial Drift,PC,5.63,2021-10-05
epic_games_store,SpellForce 3: Versus Edition,PC,0.0,2020-12-14
epic_games_store,Franchise Hockey Manager 8,PC,35.18,2021-11-03
epic_games_store,Mafia III: Definitive Edition,PC,20.39,2020-09-25
epic_games_store,Severed Steel,PC,6.83,2021-09-17
epic_games_store,The Signifier: Director's Cut,PC,5.63,2021-04-22
epic_games_store,Kosmokrats,PC,4.19,2020-12-18
epic_games_store,Sockventure,PC,7.07,2021-05-11
epic_games_store,Backbone,PC,7.07,2021-06-08
epic_games_store,Through the Woods,PC,6.78,2021-10-28
epic_games_store,Cris Tales,PC,19.19,2021-07-20
epic_games_store,Remnant: From the Ashes,PC,18.77,2020-08-13
epic_games_store,Rogue Lords,PC,10.79,2021-09-30
epic_games_store,RimWorld,PC,9.83,2020-06-09
epic_games_store,Battle Chasers: Nightwar,PC,11.99,2021-03-25
epic_games_store,The Flower Collectors,PC,5.63,2020-12-18
epic_games_store,Aquanox Deep Descent,PC,13.67,2020-10-20
epic_games_store,The Hand of Merlin,PC,11.27,2021-05-11
epic_games_store,The Big Con,PC,5.51,2021-08-31
epic_games_store,Mothergunship,PC,11.27,2021-07-29
epic_games_store,Doomsday Vault,PC,4.79,2021-08-05
epic_games_store,HammerHelm,PC,5.51,2021-10-21
epic_games_store,Star Renegades,PC,7.07,2021-03-04
epic_games_store,Poly Bridge 2,PC,4.46,2020-05-28
epic_games_store,Fisti-Fluffs,PC,5.63,2021-09-23
epic_games_store,SpellForce 3: Fallen God,PC,9.71,2020-12-14
epic_games_store,Tandem: a Tale of Shadows,PC,7.07,2021-10-21
